Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR32280593,WGS,300,11307529800,PRJNA1209100,SAMN46726161,Invertebrate,3718772687,PRINCETON UNIVERSITY,2020-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617732,Algeria,Africa,Algeria:Algiers,Illumina NovaSeq 6000,ALG5,Outdoors,ALG5,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:04:00Z,1,ALG5,SRP556564,whole body
SRR32280594,WGS,300,11750552400,PRJNA1209100,SAMN46726157,Invertebrate,4183823503,PRINCETON UNIVERSITY,2020-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617731,Algeria,Africa,Algeria:Algiers,Illumina NovaSeq 6000,ALG1,Outdoors,ALG1,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:00:00Z,1,ALG1,SRP556564,whole body
SRR32280595,WGS,300,10318132500,PRJNA1209100,SAMN46726133,Invertebrate,3443369782,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617730,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU7,Outdoors,GAU7,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-08T23:59:00Z,1,GAU7,SRP556564,whole body
SRR32280596,WGS,300,16477636500,PRJNA1209100,SAMN46725929,Invertebrate,5514636036,PRINCETON UNIVERSITY,2015-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617729,Sweden,Europe,Sweden:Enhorna,Illumina NovaSeq 6000,SWE4,Outdoors,SWE4,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:02:00Z,1,SWE4,SRP556564,whole body
SRR32280597,WGS,300,20869277400,PRJNA1209100,SAMN46725928,Invertebrate,6966385404,PRINCETON UNIVERSITY,2015-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617728,Sweden,Europe,Sweden:Enhorna,Illumina NovaSeq 6000,SWE3,Outdoors,SWE3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:09:00Z,1,SWE3,SRP556564,whole body
SRR32280598,WGS,300,16802466000,PRJNA1209100,SAMN46726874,Invertebrate,5663936771,PRINCETON UNIVERSITY,2021-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617727,Russia,Europe,Russia:Khabarovsk,Illumina NovaSeq 6000,KBV3,Outdoors,KBV3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:04:00Z,1,KBV3,SRP556564,whole body
SRR32280599,WGS,300,19271603700,PRJNA1209100,SAMN46726873,Invertebrate,6724635534,PRINCETON UNIVERSITY,2021-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617726,Russia,Europe,Russia:Khabarovsk,Illumina NovaSeq 6000,KBV2,Outdoors,KBV2,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:04:00Z,1,KBV2,SRP556564,whole body
SRR32280600,WGS,300,11156488800,PRJNA1209100,SAMN46726096,Invertebrate,3613600310,PRINCETON UNIVERSITY,2016-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617798,Argentina,South America,Argentina:America City,Illumina NovaSeq 6000,AMC3,Outdoors,AMC3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:22:00Z,1,AMC3,SRP556564,whole body
SRR32280601,WGS,300,11644771200,PRJNA1209100,SAMN46726095,Invertebrate,3739238394,PRINCETON UNIVERSITY,2016-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617797,Argentina,South America,Argentina:America City,Illumina NovaSeq 6000,AMC2,Outdoors,AMC2,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:22:00Z,1,AMC2,SRP556564,whole body
SRR32280602,WGS,300,12834363000,PRJNA1209100,SAMN46726094,Invertebrate,4151455806,PRINCETON UNIVERSITY,2016-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617796,Argentina,South America,Argentina:America City,Illumina NovaSeq 6000,AMC1,Outdoors,AMC1,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,AMC1,SRP556564,whole body
